MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,112,3,0,0.1,,500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,113,3,0,0.2,,500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,111,3,0,0.3,,500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,113,3,0,0.4,,500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,112,3,0,0.5,,500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.6,,500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.7,,500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.799,,500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.899,,500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.999,,500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.1,,600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.2,,600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.3,,600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.4,,600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.5,,600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.6,,600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.7,,600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.799,,600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.899,,600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.999,,600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.1,,700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.2,,700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.3,,700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.4,,700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.5,,700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,58,3,0,0.6,,700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,56,3,0,0.7,,700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,56,3,0,0.799,,700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,56,3,0,0.899,,700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,56,3,0,0.999,,700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,56,3,0,0.1,,800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,53,3,0,0.2,,800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,55,3,0,0.3,,800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,55,3,0,0.4,,800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,53,3,0,0.5,,800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,50,3,0,0.6,,800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,53,3,0,0.7,,800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,53,3,0,0.799,,800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,56,3,0,0.899,,800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,46,3,0,0.999,,800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,44,3,0,0.1,,900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.2,,900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,43,3,0,0.3,,900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,57,3,0,0.4,,900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,56,3,0,0.5,,900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,40,3,0,0.6,,900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.7,,900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,50,3,0,0.799,,900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,47,3,0,0.899,,900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.999,,900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,40,3,0,0.1,,1000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.2,,1000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,44,3,0,0.3,,1000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.4,,1000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,45,3,0,0.5,,1000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.6,,1000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.7,,1000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.799,,1000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.899,,1000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.999,,1000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,42,3,0,0.1,,1100,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,46,3,0,0.2,,1100,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.3,,1100,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.4,,1100,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,41,3,0,0.5,,1100,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,42,3,0,0.6,,1100,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,46,3,0,0.7,,1100,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,52,3,0,0.799,,1100,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,42,3,0,0.899,,1100,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.999,,1100,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,48,3,0,0.1,,1200,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,50,3,0,0.2,,1200,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,52,3,0,0.3,,1200,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,51,3,0,0.4,,1200,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,41,3,0,0.5,,1200,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.6,,1200,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,50,3,0,0.7,,1200,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,43,3,0,0.799,,1200,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,51,3,0,0.899,,1200,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.999,,1200,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,41,3,0,0.1,,1300,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,42,3,0,0.2,,1300,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.3,,1300,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,47,3,0,0.4,,1300,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,46,3,0,0.5,,1300,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.6,,1300,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,45,3,0,0.7,,1300,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.799,,1300,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,42,3,0,0.899,,1300,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,44,3,0,0.999,,1300,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,45,3,0,0.1,,1400,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,48,3,0,0.2,,1400,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,40,3,0,0.3,,1400,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,44,3,0,0.4,,1400,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,42,3,0,0.5,,1400,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,41,3,0,0.6,,1400,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,44,3,0,0.7,,1400,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,41,3,0,0.799,,1400,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,44,3,0,0.899,,1400,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,45,3,0,0.999,,1400,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,42,3,0,0.1,,1500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.2,,1500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.3,,1500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.4,,1500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.5,,1500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.6,,1500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.7,,1500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.799,,1500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,38,3,0,0.899,,1500,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.999,,1500,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.1,,1600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.2,,1600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.3,,1600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.4,,1600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.5,,1600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.6,,1600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.7,,1600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.799,,1600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.899,,1600,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,37,3,0,0.999,,1600,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.1,,1700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.2,,1700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.3,,1700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.4,,1700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.5,,1700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.6,,1700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.7,,1700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.799,,1700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,38,3,0,0.899,,1700,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.999,,1700,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.1,,1800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.2,,1800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.3,,1800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.4,,1800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.5,,1800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.6,,1800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.7,,1800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,40,3,0,0.799,,1800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,38,3,0,0.899,,1800,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,38,3,0,0.999,,1800,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.1,,1900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.2,,1900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.3,,1900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.4,,1900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.5,,1900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,39,3,0,0.6,,1900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.7,,1900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.799,,1900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,39,3,0,0.899,,1900,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,38,3,0,0.999,,1900,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.1,,2000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.2,,2000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,37,3,0,0.3,,2000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.4,,2000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.5,,2000,,,,,5,,,
CompleteGumtreeMatcher,4943,107,2427,2425,0,91,0,0,38,3,0,0.6,,2000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,37,3,0,0.7,,2000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,37,3,0,0.799,,2000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,37,3,0,0.899,,2000,,,,,5,,,
CompleteGumtreeMatcher,4965,111,2429,2427,0,109,0,0,37,3,0,0.999,,2000,,,,,5,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,6,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,6,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,6,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,6,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,6,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,2,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,2,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,2,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,2,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,2,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,4,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,4,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,4,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,4,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,4,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,6,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,6,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,6,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,6,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.7,6,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,2,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,2,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,2,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,2,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,2,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,4,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,4,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,4,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,4,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,4,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,6,0.2,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,6,0.2,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,6,0.2,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,6,0.2,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.899,6,0.2,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,2,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,4,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.1,6,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,2,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,4,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.3,6,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,2,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.4,0.1,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.4,0.3,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.4,0.5,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.4,0.7,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,4,0.4,0.899,,,,
ChangeDistiller,,,,,,,,,,,1,,,,0.5,6,0.4,0.1,,,,
